depth	latitude	longitude	nppv	o2	time
0.49402538	21.75	119.25	1.266805	32.59332	2021-10-01
0.49402538	21.75	119.5	1.2458433	32.546455	2021-10-01
0.49402538	21.75	119.75	1.8789532	32.518562	2021-10-01
0.49402538	21.75	120.0	2.7685232	32.52388	2021-10-01
0.49402538	21.75	120.25	2.9804301	32.54296	2021-10-01
0.49402538	21.75	120.5	2.4291809	32.577694	2021-10-01
0.49402538	21.75	120.75	2.834796	32.59373	2021-10-01
0.49402538	21.75	121.0	3.5564847	32.620274	2021-10-01
0.49402538	21.75	121.25	3.567905	32.5985	2021-10-01
0.49402538	21.75	121.5	2.2762308	32.49717	2021-10-01
0.49402538	21.75	121.75	0.71364534	32.39042	2021-10-01
0.49402538	21.75	122.0	0.5023981	32.398396	2021-10-01
0.49402538	21.75	122.25	0.52259254	32.367737	2021-10-01
0.49402538	21.75	122.5	0.5552054	32.38315	2021-10-01
0.49402538	21.75	122.75	0.55939955	32.41238	2021-10-01
0.49402538	21.75	123.0	0.546877	32.41365	2021-10-01
0.49402538	22.0	119.25	1.3878174	32.602993	2021-10-01
0.49402538	22.0	119.5	1.4425288	32.56534	2021-10-01
0.49402538	22.0	119.75	1.7820234	32.53054	2021-10-01
0.49402538	22.0	120.0	2.5500817	32.545074	2021-10-01
0.49402538	22.0	120.25	2.2499084	32.57046	2021-10-01
0.49402538	22.0	120.5	1.8410625	32.602566	2021-10-01
0.49402538	22.0	121.0	3.965604	32.686024	2021-10-01
0.49402538	22.0	121.25	3.8324463	32.63697	2021-10-01
0.49402538	22.0	121.5	2.6211252	32.570026	2021-10-01
0.49402538	22.0	121.75	1.099271	32.447506	2021-10-01
0.49402538	22.0	122.0	0.51212794	32.41307	2021-10-01
0.49402538	22.0	122.25	0.51091117	32.3734	2021-10-01
0.49402538	22.0	122.5	0.54462767	32.37758	2021-10-01
0.49402538	22.0	122.75	0.5586206	32.408424	2021-10-01
0.49402538	22.0	123.0	0.5529715	32.41944	2021-10-01
