month	depth	latitude	longitude	nppv	o2	time
1	0.49402538	21.75	119.25	19.522123	211.72295	2024-01-01
1	0.49402538	21.75	119.5	21.446817	210.7479	2024-01-01
1	0.49402538	21.75	119.75	22.137804	210.57817	2024-01-01
1	0.49402538	21.75	120.0	21.602486	209.75069	2024-01-01
1	0.49402538	21.75	120.25	17.893452	208.7254	2024-01-01
1	0.49402538	21.75	120.5	15.67855	208.65921	2024-01-01
1	0.49402538	21.75	120.75	15.679127	209.25243	2024-01-01
1	0.49402538	21.75	121.0	13.524288	208.91264	2024-01-01
1	0.49402538	21.75	121.25	11.426764	208.653	2024-01-01
1	0.49402538	21.75	121.5	9.506008	208.62111	2024-01-01
1	0.49402538	21.75	121.75	7.95148	208.79428	2024-01-01
1	0.49402538	21.75	122.0	5.561086	207.93639	2024-01-01
1	0.49402538	21.75	122.25	4.1375527	207.06474	2024-01-01
1	0.49402538	21.75	122.5	4.2783976	206.97426	2024-01-01
1	0.49402538	21.75	122.75	5.4025106	207.94495	2024-01-01
1	0.49402538	21.75	123.0	6.6025333	209.44148	2024-01-01
1	0.49402538	22.0	119.25	20.966661	211.75716	2024-01-01
1	0.49402538	22.0	119.5	21.70797	210.83557	2024-01-01
1	0.49402538	22.0	119.75	21.03175	210.26588	2024-01-01
1	0.49402538	22.0	120.0	19.562523	209.33138	2024-01-01
1	0.49402538	22.0	120.25	17.447285	209.00758	2024-01-01
1	0.49402538	22.0	120.5	17.248667	209.62184	2024-01-01
1	0.49402538	22.0	121.0	16.067995	209.95816	2024-01-01
1	0.49402538	22.0	121.25	14.159442	209.22679	2024-01-01
1	0.49402538	22.0	121.5	12.750122	208.92523	2024-01-01
1	0.49402538	22.0	121.75	10.283459	208.90666	2024-01-01
1	0.49402538	22.0	122.0	7.292574	208.12291	2024-01-01
1	0.49402538	22.0	122.25	4.412197	207.16472	2024-01-01
1	0.49402538	22.0	122.5	4.4048243	207.0038	2024-01-01
1	0.49402538	22.0	122.75	5.5239825	208.12534	2024-01-01
1	0.49402538	22.0	123.0	6.862102	209.86238	2024-01-01
1	0.49402538	22.25	119.25	22.567966	213.42087	2024-01-01
1	0.49402538	22.25	119.5	22.926271	211.97308	2024-01-01
1	0.49402538	22.25	119.75	21.665659	210.74625	2024-01-01
1	0.49402538	22.25	120.0	20.18638	209.79298	2024-01-01
1	0.49402538	22.25	120.25	18.341476	210.05325	2024-01-01
1	0.49402538	22.25	120.5	17.813793	210.94278	2024-01-01
1	0.49402538	22.25	121.0	16.656359	210.66087	2024-01-01
1	0.49402538	22.25	121.25	15.2186775	209.67986	2024-01-01
1	0.49402538	22.25	121.5	13.634727	209.23077	2024-01-01
1	0.49402538	22.25	121.75	11.688668	209.22061	2024-01-01
1	0.49402538	22.25	122.0	8.3874235	208.34601	2024-01-01
1	0.49402538	22.25	122.25	4.831677	207.31999	2024-01-01
1	0.49402538	22.25	122.5	4.5201163	207.10782	2024-01-01
1	0.49402538	22.25	122.75	5.4942226	208.1428	2024-01-01
1	0.49402538	22.25	123.0	6.7902713	209.85109	2024-01-01
1	0.49402538	22.5	119.25	24.454023	214.33154	2024-01-01
1	0.49402538	22.5	119.5	24.043852	213.16632	2024-01-01
1	0.49402538	22.5	119.75	23.211817	211.91325	2024-01-01
1	0.49402538	22.5	120.0	20.883438	211.0159	2024-01-01
1	0.49402538	22.5	120.25	20.810892	211.80138	2024-01-01
1	0.49402538	22.5	120.5	20.00953	211.98509	2024-01-01
1	0.49402538	22.5	121.0	18.227573	210.92351	2024-01-01
1	0.49402538	22.5	121.25	15.507665	209.96371	2024-01-01
1	0.49402538	22.5	121.5	14.727543	209.39253	2024-01-01
1	0.49402538	22.5	121.75	12.339809	209.31491	2024-01-01
1	0.49402538	22.5	122.0	8.709674	208.49547	2024-01-01
1	0.49402538	22.5	122.25	5.1999173	207.48557	2024-01-01
1	0.49402538	22.5	122.5	4.6795106	207.2517	2024-01-01
1	0.49402538	22.5	122.75	5.46348	208.0851	2024-01-01
1	0.49402538	22.5	123.0	6.562899	209.47136	2024-01-01
1	0.49402538	22.75	119.25	24.892864	214.39879	2024-01-01
1	0.49402538	22.75	119.5	23.048258	213.3431	2024-01-01
1	0.49402538	22.75	119.75	22.76287	212.31564	2024-01-01
1	0.49402538	22.75	120.0	21.548338	211.87164	2024-01-01
1	0.49402538	22.75	121.25	18.179096	210.0221	2024-01-01
1	0.49402538	22.75	121.5	16.025185	209.53888	2024-01-01
1	0.49402538	22.75	121.75	13.483925	209.3838	2024-01-01
1	0.49402538	22.75	122.0	9.739713	208.66095	2024-01-01
1	0.49402538	22.75	122.25	5.7602496	207.6829	2024-01-01
1	0.49402538	22.75	122.5	4.9544773	207.3964	2024-01-01
1	0.49402538	22.75	122.75	5.5562577	208.04616	2024-01-01
1	0.49402538	22.75	123.0	6.3720016	209.00209	2024-01-01
1	0.49402538	23.0	119.25	25.784454	215.37865	2024-01-01
1	0.49402538	23.0	119.5	24.264357	213.92102	2024-01-01
1	0.49402538	23.0	119.75	22.801874	212.92378	2024-01-01
1	0.49402538	23.0	120.0	25.977716	213.72017	2024-01-01
1	0.49402538	23.0	121.5	15.902665	209.82115	2024-01-01
1	0.49402538	23.0	121.75	13.810762	209.57211	2024-01-01
1	0.49402538	23.0	122.0	10.505794	208.81505	2024-01-01
1	0.49402538	23.0	122.25	6.4888964	207.90294	2024-01-01
1	0.49402538	23.0	122.5	5.380894	207.56187	2024-01-01
1	0.49402538	23.0	122.75	5.79855	208.05109	2024-01-01
1	0.49402538	23.0	123.0	6.383335	208.67882	2024-01-01
1	0.49402538	23.25	119.25	25.162012	216.51843	2024-01-01
1	0.49402538	23.25	119.5	20.375101	219.10738	2024-01-01
1	0.49402538	23.25	119.75	22.814564	214.73534	2024-01-01
1	0.49402538	23.25	120.0	27.319267	221.06181	2024-01-01
1	0.49402538	23.25	121.5	17.031736	209.93361	2024-01-01
1	0.49402538	23.25	121.75	14.174444	209.67064	2024-01-01
1	0.49402538	23.25	122.0	11.107365	208.98083	2024-01-01
1	0.49402538	23.25	122.25	7.365136	208.1269	2024-01-01
1	0.49402538	23.25	122.5	5.9805965	207.73386	2024-01-01
1	0.49402538	23.25	122.75	6.0095654	208.0922	2024-01-01
1	0.49402538	23.25	123.0	6.467395	208.56038	2024-01-01
1	0.49402538	23.5	119.25	20.442122	217.89145	2024-01-01
1	0.49402538	23.5	119.5	24.77672	219.24068	2024-01-01
1	0.49402538	23.5	119.75	29.706715	214.8593	2024-01-01
1	0.49402538	23.5	120.0	27.106497	224.9246	2024-01-01
1	0.49402538	23.5	121.75	15.206964	209.79794	2024-01-01
1	0.49402538	23.5	122.0	12.0874605	209.17206	2024-01-01
1	0.49402538	23.5	122.25	8.482787	208.3254	2024-01-01
1	0.49402538	23.5	122.5	6.733554	207.91196	2024-01-01
1	0.49402538	23.5	122.75	6.5207033	208.16934	2024-01-01
1	0.49402538	23.5	123.0	6.8390026	208.6198	2024-01-01
1	0.49402538	23.75	119.25	20.344046	219.94156	2024-01-01
1	0.49402538	23.75	119.5	28.06526	218.96489	2024-01-01
1	0.49402538	23.75	119.75	28.802874	215.26291	2024-01-01
1	0.49402538	23.75	120.0	25.566048	222.99904	2024-01-01
1	0.49402538	23.75	121.75	15.752157	209.97304	2024-01-01
1	0.49402538	23.75	122.0	13.392624	209.42665	2024-01-01
1	0.49402538	23.75	122.25	9.801719	208.55205	2024-01-01
1	0.49402538	23.75	122.5	7.6479826	208.11163	2024-01-01
1	0.49402538	23.75	122.75	7.1254606	208.24626	2024-01-01
1	0.49402538	23.75	123.0	7.338791	208.73401	2024-01-01
1	0.49402538	24.0	119.25	20.519432	220.93893	2024-01-01
1	0.49402538	24.0	119.5	26.264225	218.41692	2024-01-01
1	0.49402538	24.0	119.75	33.88384	217.24463	2024-01-01
1	0.49402538	24.0	120.0	29.513803	220.64465	2024-01-01
1	0.49402538	24.0	120.25	24.531353	226.19585	2024-01-01
1	0.49402538	24.0	121.75	17.21823	210.39331	2024-01-01
1	0.49402538	24.0	122.0	14.374316	209.66898	2024-01-01
1	0.49402538	24.0	122.25	10.92909	208.86595	2024-01-01
1	0.49402538	24.0	122.5	8.47028	208.31004	2024-01-01
1	0.49402538	24.0	122.75	7.8556805	208.3161	2024-01-01
1	0.49402538	24.0	123.0	7.972296	208.74933	2024-01-01
1	0.49402538	24.25	119.25	19.403925	222.38768	2024-01-01
1	0.49402538	24.25	119.5	27.263073	220.89253	2024-01-01
1	0.49402538	24.25	119.75	25.67285	222.42392	2024-01-01
1	0.49402538	24.25	120.0	23.395304	223.08302	2024-01-01
1	0.49402538	24.25	120.25	22.164555	225.10786	2024-01-01
1	0.49402538	24.25	121.75	18.049936	210.56725	2024-01-01
1	0.49402538	24.25	122.0	16.396132	209.96643	2024-01-01
1	0.49402538	24.25	122.25	12.733006	209.25963	2024-01-01
1	0.49402538	24.25	122.5	9.576399	208.57092	2024-01-01
1	0.49402538	24.25	122.75	8.537499	208.42326	2024-01-01
1	0.49402538	24.25	123.0	8.356417	208.704	2024-01-01
1	0.49402538	24.5	119.25	18.744667	229.29343	2024-01-01
1	0.49402538	24.5	119.5	19.874107	224.17128	2024-01-01
1	0.49402538	24.5	119.75	19.57018	224.90306	2024-01-01
1	0.49402538	24.5	120.0	18.88854	225.82652	2024-01-01
1	0.49402538	24.5	120.25	18.97836	225.8802	2024-01-01
1	0.49402538	24.5	120.5	18.41524	227.24544	2024-01-01
1	0.49402538	24.5	122.0	18.034397	210.50696	2024-01-01
1	0.49402538	24.5	122.25	14.666396	209.7324	2024-01-01
1	0.49402538	24.5	122.5	11.369652	208.9244	2024-01-01
1	0.49402538	24.5	122.75	9.300562	208.56253	2024-01-01
1	0.49402538	24.5	123.0	8.888426	208.6738	2024-01-01
1	0.49402538	24.75	119.25	20.209196	248.13344	2024-01-01
1	0.49402538	24.75	119.5	20.273294	235.4308	2024-01-01
1	0.49402538	24.75	119.75	19.89903	230.79672	2024-01-01
1	0.49402538	24.75	120.0	18.046328	230.57256	2024-01-01
1	0.49402538	24.75	120.25	16.798584	228.93678	2024-01-01
1	0.49402538	24.75	120.5	16.675978	227.76173	2024-01-01
1	0.49402538	24.75	120.75	18.720924	228.46967	2024-01-01
1	0.49402538	24.75	122.0	19.867666	212.36794	2024-01-01
1	0.49402538	24.75	122.25	16.637644	210.82004	2024-01-01
1	0.49402538	24.75	122.5	13.49781	209.61356	2024-01-01
1	0.49402538	24.75	122.75	10.681242	208.81792	2024-01-01
1	0.49402538	24.75	123.0	9.675816	208.72462	2024-01-01
1	0.49402538	25.0	119.25	19.93892	267.31033	2024-01-01
1	0.49402538	25.0	119.5	20.120354	254.94046	2024-01-01
1	0.49402538	25.0	119.75	20.069794	242.89865	2024-01-01
1	0.49402538	25.0	120.0	19.187294	237.4401	2024-01-01
1	0.49402538	25.0	120.25	18.150023	235.71523	2024-01-01
1	0.49402538	25.0	120.5	16.829775	232.37743	2024-01-01
