month	depth	latitude	longitude	chl	phyc	time
1	0.49402538	21.75	119.25	0.38117337	1.5587616	2022-01-01
1	0.49402538	21.75	119.5	0.3613978	1.5028073	2022-01-01
1	0.49402538	21.75	119.75	0.35011697	1.4691935	2022-01-01
1	0.49402538	21.75	120.0	0.35239244	1.457917	2022-01-01
1	0.49402538	21.75	120.25	0.36483145	1.4747015	2022-01-01
1	0.49402538	21.75	120.5	0.37929234	1.4987879	2022-01-01
1	0.49402538	21.75	120.75	0.34162325	1.3947883	2022-01-01
1	0.49402538	21.75	121.0	0.28960848	1.3555157	2022-01-01
1	0.49402538	21.75	121.25	0.2258185	1.2682505	2022-01-01
1	0.49402538	21.75	121.5	0.21362868	1.2446196	2022-01-01
1	0.49402538	21.75	121.75	0.28655806	1.4151589	2022-01-01
1	0.49402538	21.75	122.0	0.32960135	1.4921832	2022-01-01
1	0.49402538	21.75	122.25	0.35559708	1.5082111	2022-01-01
1	0.49402538	21.75	122.5	0.35149318	1.463947	2022-01-01
1	0.49402538	21.75	122.75	0.31906542	1.3924804	2022-01-01
1	0.49402538	21.75	123.0	0.28841928	1.3429174	2022-01-01
1	0.49402538	22.0	119.25	0.39038694	1.5578337	2022-01-01
1	0.49402538	22.0	119.5	0.3731624	1.5033181	2022-01-01
1	0.49402538	22.0	119.75	0.36476785	1.4758209	2022-01-01
1	0.49402538	22.0	120.0	0.36966795	1.4935933	2022-01-01
1	0.49402538	22.0	120.25	0.38889956	1.5582067	2022-01-01
1	0.49402538	22.0	120.5	0.40642577	1.6512864	2022-01-01
1	0.49402538	22.0	121.0	0.34687054	1.4830428	2022-01-01
1	0.49402538	22.0	121.25	0.26784346	1.3377855	2022-01-01
1	0.49402538	22.0	121.5	0.2657445	1.3819569	2022-01-01
1	0.49402538	22.0	121.75	0.3257803	1.5036608	2022-01-01
1	0.49402538	22.0	122.0	0.36854607	1.5741054	2022-01-01
1	0.49402538	22.0	122.25	0.4012218	1.6026529	2022-01-01
1	0.49402538	22.0	122.5	0.3875028	1.5363724	2022-01-01
1	0.49402538	22.0	122.75	0.36528665	1.485927	2022-01-01
1	0.49402538	22.0	123.0	0.34931576	1.4636383	2022-01-01
1	0.49402538	22.25	119.25	0.43016353	1.6333779	2022-01-01
1	0.49402538	22.25	119.5	0.4098311	1.5912349	2022-01-01
1	0.49402538	22.25	119.75	0.40408993	1.5929226	2022-01-01
1	0.49402538	22.25	120.0	0.4089848	1.6377865	2022-01-01
1	0.49402538	22.25	120.25	0.43989223	1.8177065	2022-01-01
1	0.49402538	22.25	120.5	0.42321205	1.9276386	2022-01-01
1	0.49402538	22.25	121.0	0.4079811	1.6496994	2022-01-01
1	0.49402538	22.25	121.25	0.3388394	1.461096	2022-01-01
1	0.49402538	22.25	121.5	0.32063174	1.4592245	2022-01-01
1	0.49402538	22.25	121.75	0.3426807	1.5026352	2022-01-01
1	0.49402538	22.25	122.0	0.38777635	1.6009383	2022-01-01
1	0.49402538	22.25	122.25	0.4138626	1.6366022	2022-01-01
1	0.49402538	22.25	122.5	0.39742264	1.580192	2022-01-01
1	0.49402538	22.25	122.75	0.39008236	1.5424957	2022-01-01
1	0.49402538	22.25	123.0	0.38207367	1.5040522	2022-01-01
1	0.49402538	22.5	119.25	0.5029351	1.8244444	2022-01-01
1	0.49402538	22.5	119.5	0.45126176	1.6560209	2022-01-01
1	0.49402538	22.5	119.75	0.4803736	1.8164016	2022-01-01
1	0.49402538	22.5	120.0	0.4882291	1.9214809	2022-01-01
1	0.49402538	22.5	120.25	0.5220813	2.407866	2022-01-01
1	0.49402538	22.5	120.5	0.47734937	2.5904653	2022-01-01
1	0.49402538	22.5	121.0	0.4650911	1.8505927	2022-01-01
1	0.49402538	22.5	121.25	0.43103617	1.6885045	2022-01-01
1	0.49402538	22.5	121.5	0.4265111	1.6752318	2022-01-01
1	0.49402538	22.5	121.75	0.44434512	1.689452	2022-01-01
1	0.49402538	22.5	122.0	0.44308847	1.6654763	2022-01-01
1	0.49402538	22.5	122.25	0.41929787	1.6126053	2022-01-01
1	0.49402538	22.5	122.5	0.3966701	1.5561737	2022-01-01
1	0.49402538	22.5	122.75	0.39754155	1.5298364	2022-01-01
1	0.49402538	22.5	123.0	0.39602163	1.5077335	2022-01-01
1	0.49402538	22.75	119.25	0.76078814	2.6514766	2022-01-01
1	0.49402538	22.75	119.5	0.5459476	1.9499245	2022-01-01
1	0.49402538	22.75	119.75	0.51125705	1.9306116	2022-01-01
1	0.49402538	22.75	120.0	0.5915937	2.3454936	2022-01-01
1	0.49402538	22.75	121.25	0.48561245	1.9290625	2022-01-01
1	0.49402538	22.75	121.5	0.4940176	1.8498086	2022-01-01
1	0.49402538	22.75	121.75	0.49279976	1.8080776	2022-01-01
1	0.49402538	22.75	122.0	0.44830632	1.6793088	2022-01-01
1	0.49402538	22.75	122.25	0.4110133	1.5879371	2022-01-01
1	0.49402538	22.75	122.5	0.3923901	1.5272307	2022-01-01
1	0.49402538	22.75	122.75	0.40747637	1.5313053	2022-01-01
1	0.49402538	22.75	123.0	0.4117183	1.5259776	2022-01-01
1	0.49402538	23.0	119.25	1.0778966	3.832089	2022-01-01
1	0.49402538	23.0	119.5	0.93583155	3.3419538	2022-01-01
1	0.49402538	23.0	119.75	0.69232166	2.5809953	2022-01-01
1	0.49402538	23.0	120.0	0.8130233	3.4610562	2022-01-01
1	0.49402538	23.0	121.5	0.4873404	1.8283296	2022-01-01
1	0.49402538	23.0	121.75	0.48216295	1.7872676	2022-01-01
1	0.49402538	23.0	122.0	0.4462046	1.6792262	2022-01-01
1	0.49402538	23.0	122.25	0.4128141	1.5887929	2022-01-01
1	0.49402538	23.0	122.5	0.3968245	1.5391853	2022-01-01
1	0.49402538	23.0	122.75	0.4190054	1.5474082	2022-01-01
1	0.49402538	23.0	123.0	0.41966724	1.5232989	2022-01-01
1	0.49402538	23.25	119.25	1.1924914	4.6759043	2022-01-01
1	0.49402538	23.25	119.5	0.98518705	4.4988184	2022-01-01
1	0.49402538	23.25	119.75	0.8394103	3.2294047	2022-01-01
